,Ward Name,Kanji,Population,Density (/Km2),Ward Area (Km2),Major District,District Latitude,District Longtitude,Price Avg (JPY/Sq.M)
0,Chiyoda,千代田区,59441,5100,1166,Nagatacho,35.675618,139.7434685,2737238
1,Chuo,中央区,147620,14460,1021,Nihonbashi,35.68406775,139.77450291683806,1921309
2,Shinjuku,新宿区,339211,18620,1822,Shinjuku,35.6937632,139.7036319,871944
3,Shinagawa,品川区,392492,17180,2284,Shinagawa,35.599252,139.73891,779498
4,Shibuya,渋谷区,227850,15080,1511,Shibuya,35.6645956,139.6987107,1188676
